      N       bound (5.1)

   100000        33668
   200000        67739
   300000       101945
   400000       136186
   500000       170502
   600000       204858
   700000       239241
   800000       273668
   900000       308099
  1000000       342567
  2000000       687883
  3000000      1034056
  4000000      1380747
  5000000      1727731
  6000000      2075114
  7000000      2422651
  8000000      2770389
  9000000      3118302
 10000000      3466414
 20000000      6952477
 30000000     10444694
 40000000     13940838
 50000000     17439638
 60000000     20940591
 70000000     24443233
 80000000     27947403
 90000000     31452859
100000000     34959207
200000000     70065426
300000000    105219155
400000000    140402099
500000000    175606238
600000000    210826906
700000000    246060998
800000000    281306449
900000000    316561839
