40000: [39997, 39997.47427706792]
40001: [39998, 39998.58893745797]
40002: [39999, 39999.70460659045]
40003: [40000, 40000.384297520664]
40004: [40001, 40001.49862258953]
40005: [40002, 40002.61432506887]
40006: [40003, 40003.50201748487]
40007: [40003, 40004.60827168796]
40008: [40004, 40005.72394082045]
40009: [40006, 40006.42535305985]
40010: [40006, 40007.52185608608]
40011: [40007, 40008.63752521856]
40012: [40008, 40009.52689979825]
40013: [40009, 40010.52689979825]
40014: [40010, 40011.642568930736]
40015: [40011, 40012.75756556826]
40016: [40013, 40013.87239408204]
40017: [40014, 40014.98806321453]
40018: [40015, 40015.88349024882]
40019: [40015, 40016.972595830535]
40020: [40018, 40018.08826496301]
40021: [40018, 40018.64409722222]
40022: [40019, 40019.71701388889]
40023: [40019, 40020.83275462963]
40024: [40021, 40021.664930555555]
40025: [40022, 40022.77141203704]
40026: [40023, 40023.88715277778]
40027: [40024, 40024.69618055556]
40028: [40025, 40025.76909722222]
40029: [40026, 40026.88483796296]
40030: [40027, 40027.67534722222]
40031: [40028, 40028.67534722222]
40032: [40029, 40029.79108796296]
40033: [40030, 40030.5175879397]
40034: [40031, 40031.63065326633]
40035: [40032, 40032.746231155776]
40036: [40033, 40033.2818287037]
40037: [40034, 40034.2818287037]
40038: [40034, 40035.39756944444]
40039: [40036, 40036.140625]
40040: [40036, 40037.25520833333]
40041: [40037, 40038.37094907407]
40042: [40038, 40039.16261574074]
40043: [40040, 40040.273726851854]
40044: [40039, 40041.38946759259]
40045: [40040, 40041.82465277778]
40046: [40042, 40042.897569444445]
40047: [40043, 40044.01331018518]
40048: [40044, 40044.82465277778]
40049: [40045, 40045.93692129629]
40050: [40046, 40047.05266203704]
40051: [40047, 40047.72916666667]
40052: [40048, 40048.84375]
40053: [40049, 40049.959490740745]
40054: [40049, 40051.06828703704]
40055: [40051, 40052.164351851854]
40056: [40052, 40053.28009259259]
40057: [40053, 40054.08738425926]
40058: [40054, 40055.16030092593]
40059: [40055, 40056.276041666664]
40060: [40056, 40057.11516203704]
40061: [40057, 40058.22974537037]
40062: [40058, 40059.34548611111]
40063: [40060, 40060.039930555555]
40064: [40060, 40061.15451388889]
40065: [40061, 40062.27025462963]
40066: [40063, 40063.09085648148]
40067: [40063, 40064.20543981482]
40068: [40064, 40065.321180555555]
40069: [40066, 40066.429976851854]
40070: [40066, 40067.52604166667]
40071: [40068, 40068.64178240741]
40072: [40069, 40069.744791666664]
40073: [40070, 40070.851273148146]
40074: [40071, 40071.96701388889]
40075: [40072, 40072.82465277778]
40076: [40073, 40073.93923611111]
40077: [40074, 40075.054976851854]
40078: [40074, 40075.823306074766]
40079: [40076, 40076.92318925234]
40080: [40077, 40078.03884345794]
40081: [40078, 40078.87178738318]
40082: [40079, 40079.98685747664]
40083: [40081, 40081.10251168224]
40084: [40081, 40081.8355724299]
40085: [40082, 40082.93195093458]
40086: [40083, 40084.047605140186]
40087: [40084, 40084.46122685185]
40088: [40084, 40085.56423611111]
40089: [40085, 40086.679976851854]
40090: [40085, 40087.229745370365]
40091: [40086, 40088.3431712963]
40092: [40089, 40089.45891203704]
40093: [40089, 40090.09780092593]
40094: [40089, 40091.17071759259]
40095: [40091, 40092.286458333336]
40096: [40093, 40093.40219907407]
40097: [40094, 40094.51678240741]
40098: [40095, 40095.632523148146]
40099: [40096, 40096.489583333336]
40100: [40096, 40097.60300925926]
40101: [40098, 40098.71875]
40102: [40099, 40099.572916666664]
40103: [40099, 40100.6875]
40104: [40099, 40101.803240740745]
40105: [40102, 40102.666666666664]
40106: [40103, 40103.773148148146]
40107: [40104, 40104.88888888889]
40108: [40105, 40105.70138888889]
40109: [40106, 40106.80671296296]
40110: [40107, 40107.9224537037]
40111: [40108, 40108.678240740745]
40112: [40109, 40109.793402777774]
40113: [40110, 40110.90914351852]
40114: [40111, 40111.75173611111]
40115: [40111, 40112.866319444445]
40116: [40112, 40113.98206018518]
40117: [40113, 40114.818865740745]
40118: [40114, 40115.929976851854]
40119: [40115, 40117.0457175926]
40120: [40116, 40117.86053240741]
40121: [40118, 40118.973958333336]
40122: [40119, 40120.08969907407]
40123: [40120, 40120.77719907407]
40124: [40121, 40121.88599537037]
40125: [40122, 40123.00173611111]
40126: [40123, 40123.19965277778]
40127: [40124, 40124.19965277778]
40128: [40125, 40125.31539351852]
40129: [40125, 40126.31539351852]
40130: [40127, 40127.41145833333]
40131: [40127, 40128.52719907407]
40132: [40129, 40129.64293981482]
40133: [40130, 40130.756365740745]
40134: [40131, 40131.87210648148]
40135: [40132, 40132.72858796296]
40136: [40133, 40133.8431712963]
40137: [40134, 40134.95891203704]
40138: [40135, 40135.72048611111]
40139: [40136, 40136.834490740745]
40140: [40137, 40137.95023148148]
40141: [40138, 40138.648148148146]
40142: [40139, 40139.72106481482]
40143: [40140, 40140.836805555555]
40144: [40140, 40141.73263888889]
40145: [40141, 40142.84722222222]
40146: [40143, 40143.96296296296]
40147: [40144, 40144.8113425926]
40148: [40145, 40145.884259259255]
40149: [40146, 40147.0]
40150: [40146, 40147.83333333333]
40151: [40147, 40148.83333333333]
40152: [40148, 40149.94907407407]
40153: [40150, 40150.56018518518]
40154: [40151, 40151.66898148148]
40155: [40151, 40152.78472222222]
40156: [40151, 40153.5625]
40157: [40154, 40154.663194444445]
40158: [40155, 40155.77893518518]
40159: [40156, 40156.71990740741]
40160: [40157, 40157.83333333333]
40161: [40158, 40158.94907407407]
40162: [40159, 40159.758101851854]
40163: [40160, 40160.758101851854]
40164: [40161, 40161.87384259259]
40165: [40161, 40162.709490740745]
40166: [40163, 40163.82638888889]
40167: [40163, 40164.94212962963]
40168: [40165, 40165.774305555555]
40169: [40166, 40166.774305555555]
40170: [40167, 40167.89004629629]
40171: [40167, 40168.80787037037]
40172: [40168, 40169.9224537037]
40173: [40170, 40171.038194444445]
40174: [40171, 40171.85995370371]
40175: [40172, 40172.96643518518]
40176: [40173, 40174.08217592593]
40177: [40174, 40175.08217592593]
40178: [40174, 40176.1550925926]
40179: [40177, 40177.270833333336]
40180: [40177, 40177.976273148146]
40181: [40178, 40179.087384259255]
40182: [40180, 40180.203125]
40183: [40179, 40181.05960648148]
40184: [40181, 40182.162615740745]
40185: [40183, 40183.27835648148]
40186: [40183, 40183.68576388889]
40187: [40184, 40184.77517361111]
40188: [40185, 40185.890625]
40189: [40186, 40186.53472222222]
40190: [40187, 40187.63107638889]
40191: [40188, 40188.74652777778]
40192: [40188, 40189.64236111111]
40193: [40189, 40190.64236111111]
40194: [40191, 40191.7578125]
40195: [40192, 40192.71411483253]
40196: [40193, 40193.8259569378]
40197: [40194, 40194.94138755981]
40198: [40195, 40195.83791866028]
40199: [40196, 40196.95035885168]
