N T LP_floor IP_lower LP_upper dual_sortedness
40000 13334 39993 39997 39997.47427707 sorted
40001 13334 39992 39998 39998.58893746 sorted
40002 13334 39995 39999 39999.70460659 sorted
40003 13335 39994 40000 40000.38429752 sorted
40004 13335 39994 40001 40001.49862259 sorted
40005 13335 39995 40002 40002.61432507 sorted
40006 13336 39998 40003 40003.50201748 sorted
40007 13336 39999 40004 40004.60827169 sorted
40008 13336 39998 40005 40005.72394082 sorted
40009 13337 40001 40006 40006.42535306 sorted
40010 13337 40001 40007 40007.52185609 sorted
40011 13337 40002 40008 40008.63752522 sorted
40012 13338 40003 40009 40009.52689980 sorted
40013 13338 40004 40010 40010.52689980 sorted
40014 13338 40005 40011 40011.64256893 sorted
40015 13339 40007 40012 40012.75756557 sorted
40016 13339 40007 40013 40013.87239408 sorted
40017 13339 40008 40014 40014.98806321 sorted
40018 13340 40009 40015 40015.88349025 sorted
40019 13340 40011 40016 40016.97259583 sorted
40020 13340 40011 40018 40018.08826496 sorted
40021 13341 40010 40018 40018.64409722 sorted
40022 13341 40013 40019 40019.71701389 sorted
40023 13341 40012 40020 40020.83275463 sorted
40024 13342 40015 40021 40021.66493056 sorted
40025 13342 40017 40022 40022.77141204 sorted
40026 13342 40016 40023 40023.88715278 sorted
40027 13343 40017 40024 40024.69618056 sorted
40028 13343 40017 40025 40025.76909722 sorted
40029 13343 40021 40026 40026.88483796 sorted
40030 13344 40019 40027 40027.67534722 sorted
40031 13344 40021 40028 40028.67534722 sorted
40032 13344 40023 40029 40029.79108796 sorted
40033 13345 40021 40030 40030.51758794 sorted
40034 13345 40023 40031 40031.63065327 sorted
40035 13345 40025 40032 40032.74623116 sorted
40036 13346 40027 40033 40033.28182870 sorted
40037 13346 40028 40034 40034.28182870 sorted
40038 13346 40028 40035 40035.39756944 sorted
40039 13347 40028 40036 40036.14062500 sorted
40040 13347 40031 40037 40037.25520833 sorted
40041 13347 40032 40038 40038.37094907 sorted
40042 13348 40029 40039 40039.16261574 sorted
40043 13348 40032 40040 40040.27372685 sorted
40044 13348 40036 40041 40041.38946759 sorted
40045 13349 40034 40041 40041.82465278 sorted
40046 13349 40035 40042 40042.89756944 sorted
40047 13349 40036 40044 40044.01331019 sorted
40048 13350 40036 40044 40044.82465278 sorted
40049 13350 40038 40045 40045.93692130 sorted
40050 13350 40039 40047 40047.05266204 sorted
40051 13351 40042 40047 40047.72916667 sorted
40052 13351 40042 40048 40048.84375000 sorted
40053 13351 40045 40049 40049.95949074 sorted
40054 13352 40044 40051 40051.06828704 sorted
40055 13352 40046 40052 40052.16435185 sorted
40056 13352 40046 40053 40053.28009259 sorted
40057 13353 40047 40054 40054.08738426 sorted
40058 13353 40051 40055 40055.16030093 sorted
40059 13353 40050 40056 40056.27604167 sorted
40060 13354 40051 40057 40057.11516204 sorted
40061 13354 40051 40058 40058.22974537 sorted
40062 13354 40052 40059 40059.34548611 sorted
40063 13355 40054 40060 40060.03993056 sorted
40064 13355 40053 40061 40061.15451389 sorted
40065 13355 40055 40062 40062.27025463 sorted
40066 13356 40055 40063 40063.09085648 sorted
40067 13356 40057 40064 40064.20543981 sorted
40068 13356 40058 40065 40065.32118056 sorted
40069 13357 40059 40066 40066.42997685 sorted
40070 13357 40063 40067 40067.52604167 sorted
40071 13357 40062 40068 40068.64178241 sorted
40072 13358 40062 40069 40069.74479167 sorted
40073 13358 40065 40070 40070.85127315 sorted
40074 13358 40067 40071 40071.96701389 sorted
40075 13359 40066 40072 40072.82465278 sorted
40076 13359 40069 40073 40073.93923611 sorted
40077 13359 40070 40074 40075.05497685 sorted
40078 13360 40069 40075 40075.82330607 sorted
40079 13360 40070 40076 40076.92318925 sorted
40080 13360 40072 40078 40078.03884346 sorted
40081 13361 40072 40078 40078.87178738 sorted
40082 13361 40073 40079 40079.98685748 sorted
40083 13361 40074 40081 40081.10251168 sorted
40084 13362 40074 40081 40081.83557243 sorted
40085 13362 40076 40082 40082.93195093 sorted
40086 13362 40078 40084 40084.04760514 sorted
40087 13363 40075 40084 40084.46122685 sorted
40088 13363 40079 40085 40085.56423611 sorted
40089 13363 40081 40086 40086.67997685 sorted
40090 13364 40081 40087 40087.22974537 sorted
40091 13364 40082 40088 40088.34317130 sorted
40092 13364 40081 40089 40089.45891204 sorted
