      N          floor        t(N)-        t(N)+      bnd 5.1      eq. (1.8)

   100000        33614        33642        33646        33668    3.35738097e+04
   200000        67667        67703        67704        67739    6.75737214e+04
   300000       101854       101903       101906       101945    1.01697376e+05
   400000       136090       136143       136149       136186    1.35895640e+05
   500000       170402       170456       170459       170502    1.70146760e+05
   600000       204752       204811       204815       204858    2.04438507e+05
   700000       239135       239187       239196       239241    2.38763081e+05
   800000       273568       273604       273610       273668    2.73115092e+05
   900000       307968       308029       308042       308099    3.07490607e+05
  1000000       342450       342505       342508       342567    3.41886633e+05
  2000000       687735       687796       687800       687883    6.86617003e+05
  3000000      1033857      1033949      1033960      1034056    1.03221427e+06
  4000000      1380531      1380625      1380637      1380747    1.37834013e+06
  5000000      1727499      1727605      1727609      1727731    1.72484315e+06
  6000000      2074830      2074962      2074983      2075114    2.07163758e+06
  7000000      2422422      2422486      2422508      2422651    2.41866845e+06
  8000000      2770115      2770212      2770241      2770389    2.76589762e+06
  9000000      3118039      3118129      3118153      3118302    3.11329715e+06
 10000000      3466108      3466235      3466247      3466414    3.46084572e+06
 20000000      6952115      6952243      6952261      6952477    6.94196320e+06
 30000000     10444300     10444441     10444454     10444694    1.04294714e+07
 40000000     13940348     13940484     13940548     13940838    1.39209092e+07
 50000000     17439056     17439282     17439315     17439638    1.74151661e+07
 60000000     20940044     20940210     20940233     20940591    2.09116097e+07
 70000000     24442600     24442818     24442855     24443233    2.44098333e+07
 80000000     27946752     27946958     27947001     27947403    2.79095534e+07
 90000000     31452204     31452431     31452454     31452859    3.14105621e+07
100000000     34958488     34958725     34958773     34959207    3.49127003e+07
200000000     70064542     70064782     70064827     70065426    6.99769717e+07
300000000    105218127    105218403    105218444    105219155    1.05090215e+08
400000000    140400896    140401212    140401292    140402099    1.40233766e+08
500000000    175604950    175605266    175605364    175606238    1.75399152e+08
600000000    210825475    210825848    210825916    210826906    2.10581528e+08
700000000    246059457    246059851    246059940    246060998    2.45777766e+08
800000000    281304919    281305291    281305383    281306449    2.80985684e+08
900000000    316560258    316560601    316560702    316561839    3.16203674e+08

