      N          t(N)          ub

   1000          312          313
   1100          344          345
   1200          377          378
   1300          408          409
   1400          438          441
   1500          472          473
   1600          505          506
   1700          536          537
   1800          569          570
   1900          602          603
   2000          635          636
   2100          667          668
   2200          700          702
   2300          732          734
   2400          764          765
   2500          795          796
   2600          829          830
   2700          862          864
   2800          894          896
   2900          927          929
   3000          960          961
   3100          992          993
   3200         1027         1028
   3300         1060         1061
   3400         1091         1094
   3500         1125         1126
   3600         1155         1158
   3700         1189         1190
   3800         1222         1223
   3900         1255         1256
   4000         1287         1289
   4100         1321         1322
   4200         1353         1354
   4300         1384         1385
   4400         1416         1417
   4500         1450         1453
   4600         1484         1486
   4700         1517         1518
   4800         1547         1548
   4900         1585         1586
   5000         1613         1615
   5100         1648         1651
   5200         1682         1683
   5300         1715         1718
   5400         1749         1751
   5500         1781         1782
   5600         1813         1815
   5700         1845         1846
   5800         1880         1881
   5900         1911         1912
   6000         1946         1947
   6100         1975         1980
   6200         2012         2014
   6300         2043         2045
   6400         2075         2078
   6500         2108         2111
   6600         2143         2145
   6700         2173         2177
   6800         2209         2211
   6900         2244         2245
   7000         2275         2276
   7100         2310         2311
   7200         2342         2344
   7300         2375         2376
   7400         2410         2411
   7500         2441         2443
   7600         2475         2476
   7700         2505         2507
   7800         2540         2541
   7900         2574         2575
   8000         2606         2608
   8100         2642         2643
   8200         2672         2675
   8300         2706         2707
   8400         2742         2743
   8500         2775         2776
   8600         2806         2807
   8700         2838         2840
   8800         2872         2874
   8900         2905         2907
   9000         2938         2939
   9100         2973         2974
   9200         3002         3007
   9300         3033         3036
   9400         3069         3072
   9500         3101         3104
   9600         3135         3137
   9700         3167         3170
   9800         3202         3204
   9900         3234         3236
  10000         3269         3271
  10100         3301         3304
  10200         3337         3338
  10300         3369         3370
  10400         3399         3404
  10500         3434         3435
  10600         3471         3472
  10700         3501         3503
  10800         3537         3538
  10900         3568         3571
  11000         3599         3602
  11100         3637         3639
  11200         3666         3668
  11300         3701         3703
  11400         3738         3739
  11500         3769         3771
  11600         3800         3803
  11700         3835         3836
  11800         3871         3872
  11900         3904         3906
  12000         3937         3938
  12100         3968         3971
  12200         4003         4004
  12300         4036         4038
  12400         4071         4072
  12500         4102         4104
  12600         4138         4139
  12700         4167         4169
  12800         4199         4202
  12900         4234         4237
  13000         4272         4273
  13100         4299         4305
  13200         4334         4335
  13300         4368         4369
  13400         4402         4403
  13500         4434         4436
  13600         4469         4471
  13700         4502         4503
  13800         4531         4536
  13900         4568         4570
  14000         4598         4600
  14100         4634         4636
  14200         4669         4670
  14300         4700         4704
  14400         4737         4739
  14500         4769         4771
  14600         4803         4805
  14700         4836         4837
  14800         4868         4869
  14900         4899         4900
  15000         4934         4937
  15100         4970         4972
  15200         5000         5003
  15300         5032         5035
  15400         5067         5069
  15500         5102         5103
